Layer,Faction 1,Faction 2,Level,Mode,Version
Albasrah_AAS_v1,USA,MEA,Albasrah,AAS,v1
Albasrah_AAS_v2,USA,INS,Albasrah,AAS,v2
Albasrah_Insurgency_v1,GBR,INS,Albasrah,Insurgency,v1
Albasrah_Invasion_v1,GBR,INS,Albasrah,Invasion,v1
Albasrah_Invasion_v2,GBR,INS,Albasrah,Invasion,v2
CAF_AlBasrah_Invasion_v1,CAF,INS,AlBasrah,Invasion,v1
CAF_AlBasrah_Invasion_v2,CAF,MEA,AlBasrah,Invasion,v2
CAF_AlBasrah_Invasion_v3,CAF,INS,AlBasrah,Invasion,v3
Albasrah_RAAS_v1,MIL,INS,Albasrah,RAAS,v1
Albasrah_TC_v1,GBR,MEA,Albasrah,TC,v1
Albasrah_TC_v2,USA,MEA,Albasrah,TC,v2
Anvil_AAS_v1,USA,RUS,Anvil,AAS,v1
Anvil_AAS_v2,USA,RUS,Anvil,AAS,v2
Anvil_Invasion_v1,RUS,INS,Anvil,Invasion,v1
Anvil_Invasion_v2,RUS,INS,Anvil,Invasion,v2
Anvil_RAAS_v1,RUS,MEA,Anvil,RAAS,v1
Anvil_RAAS_v2,CAF,MEA,Anvil,RAAS,v2
Anvil_TC_v1,RUS,MEA,Anvil,TC,v1
Belaya_AAS_v1,RUS,MIL,Belaya,AAS,v1
Belaya_AAS_v2,GBR,RUS,Belaya,AAS,v2
CAF_Belaya_AAS_v1,CAF,RUS,Belaya,AAS,v1
Belaya_Invasion_v1,RUS,MIL,Belaya,Invasion,v1
Belaya_Invasion_v2,USA,RUS,Belaya,Invasion,v2
Belaya_Invasion_v3,GBR,RUS,Belaya,Invasion,v3
Belaya_RAAS_v1,USA,RUS,Belaya,RAAS,v1
Belaya_RAAS_v2,USA,MIL,Belaya,RAAS,v2
Belaya_RAAS_v3,GBR,MIL,Belaya,RAAS,v3
CAF_Belaya_RAAS_v1,CAF,RUS,Belaya,RAAS,v1
CAF_Belaya_RAAS_v2,CAF,RUS,Belaya,RAAS,v2
Belaya_TC_v1,USA,RUS,Belaya,TC,v1
CAF_Chora_AAS_v1,CAF,RUS,Chora,AAS,v1
Chora_AAS_v1,USA,MEA,Chora,AAS,v1
Chora_AAS_v2,USA,RUS,Chora,AAS,v2
Chora_AAS_v3,USA,RUS,Chora,AAS,v3
Chora_Insurgency_v1,USA,INS,Chora,Insurgency,v1
Chora_Invasion_v1,USA,INS,Chora,Invasion,v1
Chora_Invasion_v2,USA,INS,Chora,Invasion,v2
CAF_Chora_RAAS_v1,CAF,MEA,Chora,RAAS,v1
Chora_RAAS_v1,USA,RUS,Chora,RAAS,v1
Chora_RAAS_v2,GBR,MEA,Chora,RAAS,v2
Chora_TC_v1,USA,MEA,Chora,TC,v1
Fallujah_AAS_v1,MEA,INS,Fallujah,AAS,v1
Fallujah_AAS_v2,USA,MEA,Fallujah,AAS,v2
Fallujah_Insurgency_v1,USA,INS,Fallujah,Insurgency,v1
CAF_Fallujah_Invasion_v1,CAF,INS,Fallujah,Invasion,v1
Fallujah_Invasion_v1,USA,INS,Fallujah,Invasion,v1
Fallujah_Invasion_v2,MEA,INS,Fallujah,Invasion,v2
Fallujah_Invasion_v3,USA,INS,Fallujah,Invasion,v3
CAF_Fallujah_RAAS_v1,CAF,MEA,Fallujah,RAAS,v1
Fallujah_RAAS_v1,USA,MEA,Fallujah,RAAS,v1
Fallujah_RAAS_v2,GBR,MEA,Fallujah,RAAS,v2
Fallujah_RAAS_v3,USA,MEA,Fallujah,RAAS,v3
Fallujah_TC_v1,USA,MEA,Fallujah,TC,v1
Fallujah_TC_v2,USA,MEA,Fallujah,TC,v2
FoolsRoad_AAS_v1,USA,RUS,FoolsRoad,AAS,v1
FoolsRoad_AAS_v2,USA,RUS,FoolsRoad,AAS,v2
FoolsRoad_Destruction_v1,RUS,MIL,FoolsRoad,Destruction,v1
FoolsRoad_Invasion_v1,GBR,MIL,FoolsRoad,Invasion,v1
CAF_FoolsRoad_RAAS_v1,CAF,RUS,FoolsRoad,RAAS,v1
FoolsRoad_RAAS_v1,GBR,RUS,FoolsRoad,RAAS,v1
FoolsRoad_RAAS_v2,GBR,RUS,FoolsRoad,RAAS,v2
FoolsRoad_RAAS_v3,GBR,MIL,FoolsRoad,RAAS,v3
FoolsRoad_TC_v1,RUS,MIL,FoolsRoad,TC,v1
CAF_GooseBay_AAS_v1,CAF,RUS,GooseBay,AAS,v1
CAF_GooseBay_AAS_v2,CAF,RUS,GooseBay,AAS,v2
CAF_GooseBay_Invasion_v1,CAF,RUS,GooseBay,Invasion,v1
